Date,Symbol,Adj. Close,Adj. Volume
10/19/2017,INTC,39.62536006,18541779
10/20/2017,INTC,39.96141949,17556315
10/23/2017,INTC,40.35678352,28306520
10/24/2017,INTC,40.47539273,18616857
10/25/2017,INTC,40.30736302,23079947
10/26/2017,INTC,40.87075676,35618913
10/27/2017,INTC,43.8854075,88413551
10/30/2017,INTC,43.8557552,46012316
10/31/2017,INTC,44.96277449,46206973
11/1/2017,INTC,46.16863478,47077781
11/2/2017,INTC,46.55411471,37260192
11/3/2017,INTC,45.80292305,38647115
11/6/2017,INTC,46.42858663,31865449
11/7/2017,INTC,46.78,23074092
11/9/2017,INTC,46.3,24830309
11/10/2017,INTC,45.58,23953470
11/13/2017,INTC,45.75,18923183
11/14/2017,INTC,45.86,20747874
11/15/2017,INTC,45.46,16781344
11/16/2017,INTC,45.65,21446297
11/17/2017,INTC,44.63,62637555
11/20/2017,INTC,44.62,22162614
11/21/2017,INTC,44.94,20730988
11/22/2017,INTC,44.65,19191241
11/24/2017,INTC,44.75,6465615
11/27/2017,INTC,44.49,17187942
11/28/2017,INTC,44.73,19084500
11/29/2017,INTC,43.95,26246867
11/30/2017,INTC,44.84,32735416
12/1/2017,INTC,44.68,26393385
12/4/2017,INTC,44.49,26829460
12/5/2017,INTC,43.44,30112131
12/6/2017,INTC,43.45,24497550
12/7/2017,INTC,43.08,31193561
12/8/2017,INTC,43.35,22833083
12/11/2017,INTC,43.66,18840783
12/12/2017,INTC,43.33,15571482
12/13/2017,INTC,43.34,21055298
12/14/2017,INTC,43.26,18871565
12/15/2017,INTC,44.56,44377039
12/18/2017,INTC,46.26,49305190
12/19/2017,INTC,47.04,39973826
12/20/2017,INTC,47.56,39536777
12/21/2017,INTC,46.76,42113273
12/22/2017,INTC,46.7,33404280
12/26/2017,INTC,46.08,15477747
12/27/2017,INTC,46.11,12412977
12/28/2017,INTC,46.22,9279766
12/29/2017,INTC,46.16,17136416
1/2/2018,INTC,46.83,22435059
1/3/2018,INTC,45.26,113815771
1/4/2018,INTC,44.43,88431631
1/5/2018,INTC,44.74,41108418
1/8/2018,INTC,44.74,33170821
1/9/2018,INTC,43.62,43492902
1/10/2018,INTC,42.5,44059159
1/11/2018,INTC,43.41,31523034
1/12/2018,INTC,43.21,29583447
1/16/2018,INTC,43.14,37324201
1/17/2018,INTC,44.39,30000859
1/18/2018,INTC,44.48,25982209
1/19/2018,INTC,44.82,24363801
1/22/2018,INTC,45.75,26806431
1/23/2018,INTC,46.06,20130997
1/24/2018,INTC,45.5,33109340
1/25/2018,INTC,45.3,30961792
1/26/2018,INTC,50.08,84104806
1/29/2018,INTC,49.98,45008982
1/30/2018,INTC,48.79,31477243
1/31/2018,INTC,48.14,40547656
2/1/2018,INTC,47.65,28449942
2/2/2018,INTC,46.15,27496966
2/5/2018,INTC,44.88,40695643
2/6/2018,INTC,44.91,56592105
2/7/2018,INTC,45.2,37012974
2/8/2018,INTC,42.75,38595511
2/9/2018,INTC,43.87,43130385
2/12/2018,INTC,44.83,27821903
2/13/2018,INTC,44.46,19192378
2/14/2018,INTC,45.38,19511201
2/15/2018,INTC,45.92,21948450
2/16/2018,INTC,45.56,21133346
2/20/2018,INTC,46.32,25140384
2/21/2018,INTC,45.94,26160344
2/22/2018,INTC,45.8,16447235
2/23/2018,INTC,47.73,25243762
2/26/2018,INTC,49.11,25774143
2/27/2018,INTC,49.91,42654658
2/28/2018,INTC,49.29,33888511
3/1/2018,INTC,47.84,36326639
3/2/2018,INTC,48.98,33310592
3/5/2018,INTC,49.75,30826521
3/6/2018,INTC,50.71,39132300
3/7/2018,INTC,51.32,31801943
3/8/2018,INTC,50.74,28132301
3/9/2018,INTC,52.19,30943178
3/12/2018,INTC,51.52,31475368
3/13/2018,INTC,51.78,44646094
3/14/2018,INTC,51.86,24049899
3/15/2018,INTC,50.88,24474918
3/16/2018,INTC,51.17,38948825
3/19/2018,INTC,50.83,27562085
3/20/2018,INTC,51.55,21674287
3/21/2018,INTC,51.56,22984769
3/22/2018,INTC,50.83,30650151
3/23/2018,INTC,49.36,36741700
3/26/2018,INTC,52.48,37527480
3/27/2018,INTC,51.19,37076576
